Analyzer_Comb,Comb_Token,LL_CWE_ID,HL_CWE_ID,Scenario,N_Detected_CVEs,N_All_CVEs
codechecker,CCH,125,664,Scenario 4 (S.2-2),0,50
codechecker,CCH,770,664,Scenario 1 (S.1-1),1,1
codechecker,CCH,770,664,Scenario 2 (S.1-2),0,1
codechecker,CCH,770,664,Scenario 3 (S.2-1),1,1
codechecker,CCH,770,664,Scenario 4 (S.2-2),0,1
codechecker,CCH,189,682,Scenario 1 (S.1-1),0,1
codechecker,CCH,189,682,Scenario 2 (S.1-2),0,1
codechecker,CCH,189,682,Scenario 3 (S.2-1),0,1
codechecker,CCH,189,682,Scenario 4 (S.2-2),0,1
commsca,CSA,399,664,Scenario 1 (S.1-1),1,4
commsca,CSA,399,664,Scenario 2 (S.1-2),1,4
commsca,CSA,399,664,Scenario 3 (S.2-1),1,4
commsca,CSA,399,664,Scenario 4 (S.2-2),1,4
commsca,CSA,681,664,Scenario 1 (S.1-1),0,1
commsca,CSA,681,664,Scenario 2 (S.1-2),0,1
commsca,CSA,681,664,Scenario 3 (S.2-1),0,1
commsca,CSA,681,664,Scenario 4 (S.2-2),0,1
commsca,CSA,611,664,Scenario 1 (S.1-1),1,1
commsca,CSA,611,664,Scenario 2 (S.1-2),1,1
commsca,CSA,611,664,Scenario 3 (S.2-1),1,1
commsca,CSA,611,664,Scenario 4 (S.2-2),1,1
commsca,CSA,416,664,Scenario 1 (S.1-1),2,7
commsca,CSA,416,664,Scenario 2 (S.1-2),1,7
commsca,CSA,416,664,Scenario 3 (S.2-1),1,7
commsca,CSA,416,664,Scenario 4 (S.2-2),1,7
commsca,CSA,20,707,Scenario 1 (S.1-1),6,11
commsca,CSA,20,707,Scenario 2 (S.1-2),1,11
commsca,CSA,20,707,Scenario 3 (S.2-1),6,11
commsca,CSA,20,707,Scenario 4 (S.2-2),1,11
commsca,CSA,835,691,Scenario 1 (S.1-1),2,6
commsca,CSA,835,691,Scenario 2 (S.1-2),0,6
commsca,CSA,835,691,Scenario 3 (S.2-1),1,6
commsca,CSA,835,691,Scenario 4 (S.2-2),0,6
commsca,CSA,401,664,Scenario 1 (S.1-1),0,1
